,Name,Country,Proven victims,Possible victims,Notes,Start year,End year,Nickname
1284,"Whiteling, Sarah",United,3,3,"Known as ""The Wholesale Poisoner""",1888,Unknown,The Wholesale Poisoner
1285,"Whitten, Hattie",United,3,3,Maine woman who poisoned her husband and two children,1900,1902,
1286,"Wickline, William",United,3,3+,"Known as ""The Butcher""; drug addict who killed people in West Virginia and Ohio, dismembering and beheading their bodies post-mortem",1979,1982,The Butcher
1287,"Wilder, Christopher",United,8,15,"Known as ""The Beauty Queen Killer""; Australian man who abducted and murdered women across the USA",1984,Unknown,The Beauty Queen Killer
1288,"Wiley, Nicholas",United,3,7,"Known as ""The Syracuse Serial Killer""; sex offender who confessed to killing seven people in Syracuse, New York",2004,Unknown,The Syracuse Serial Killer
1289,"Williams, Dorothy",United,3,3,Robbed and killed elderly people to support her heroin addiction,1987,1989,
1290,"Williams, Kenneth Dewayne",United,4,4,"Killed two people on the same day, then killed two more people after escaping from prison",1998,1999,
1291,"Williams, Laron",United,3,5+,"Strangled a prostitute in Nashville, Tennessee; later escaped from prison, murdering a police officer and priest; suspect in other murders across several states",1977,1981,
1292,"Williams, Leslie Allen",United,4,4,Necrophile who killed and raped at least four women in Michigan while on parole for rape from 1991 to 1992.,1991,1992,
1293,"Williams, Scott",United,3,3,"Killed women in Charlotte and Monroe, North Carolina",1997,2006,
1294,"Williams, Wayne",United,2,23,Has maintained his innocence from the beginning and conviction is considered controversial,1979,1981,
1295,"Williamson, Thomas Andrew",United,4,4,"Murdered four people in Illinois and Missouri, including his wife",1868,1890,
1296,"Willie, Robert Lee",United,3,5,Murdered at least three people in Louisiana,1978,1980,
1297,"Wimberly, Anthony",United,3,3,Murdered three women in Oakland during a crime spree,1984,1985,
1298,"Winters, Shirley",United,2,7,Arsonist who smothered her children; suspected of killing siblings since childhood,1980,2006,
1299,"Wise, Martha",United,3,3,Poisoned 17 members of her own family,1924,1925,
1300,"Wood, Cathy",United,5,6,"Accomplice of Gwendolyn Graham; nurse's aide that preyed on elderly women in a Walker, Michigan nursing home. Released on January 16, 2020",1987,Unknown,
1301,"Wood, David Leonard",United,6,9,"Known as ""The Desert Killer""; raped and murdered young girls and women in El Paso, Texas, burying their bodies in the desert afterwards",1987,Unknown,The Desert Killer
1302,"Wood, Frederick Charles",United,5,5,"Violent habitual criminal who killed people in various New York cities, starting at age 14",1926,1960,
1303,"Wood, Isaac L.",United,3,3,"Poisoned his wife, brother and sister-in-law for monetary purposes",1855,Unknown,
1304,"Woodfield, Randall",United,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit""",1979,1981,The I-5 Killer
1305,"Wooten, Charles",United,3,3,"Killed two gas station attendants in Fort Worth during robberies; paroled, and later killed his father during an argument",1969,1993,
1306,"Wright, Douglas Franklin",United,7,7+,First criminal executed by lethal injection in Oregon,1969,1991,
1307,"Wuornos, Aileen",United,7,7,"Known as the ""Damsel of Death""; shot seven men to death in Florida between 1989 and 1990",1989,1990,Damsel of Death
1308,"Yates, Robert Lee",United,13,18+,"Targeted women in and around Spokane, Washington",1975,1998,
1309,"Zarinsky, Robert",United,2,10,Preyed on teenage girls in New Jersey,1958,1974,
1310,Albuquerque serial killer,United,2,4,Suspected of killing four Muslim men in drive-by shootings from November 2021 to August 2022. Muhammad Syed was arrested and charged with two of the murders.,2021,2022,
1311,Alphabet murders,United,3,3,"Also known as the ""Double Initial Murders""; murders of three young girls in the Rochester, New York area in the early 1970s",1971,1973,Double Initial Murders
1312,Ann Arbor Hospital murders,United,10,10,"Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Two nurses, Filipina Narciso and Leonora Perez, were convicted but a new trial was ordered because of prosecutorial misconduct. The prosecution chose to drop the charges rather than retry.",1975,Unknown,
1313,Atlanta child murders,United,28,30,"A series of murders committed in Atlanta, Georgia, between July 1979 and May 1981. Over the two-year period, at least 28 children, adolescents, and adults were killed. Wayne Williams was charged and sentenced for the two adult murders, with 24 of the other murders attributed to him.",1979,1981,
1314,Atlanta Lover's Lane Murders,United,3,3,A series of unsolved shootings on couples in Atlanta from January to March 1977,1977,Unknown,
1317,Bag murders,United,6,6,"Murders and dismemberment of gay men in Lower Manhattan, whose body parts were wrapped in garbage bags and thrown into the Hudson River; convicted murderer Paul Bateson was a prime suspect in the killings, but never charged",1975,1977,
1318,Bigfoot Killer,United,7,7,Raped and murdered sex workers in Detroit; nicknamed derived from the suspect's large hands and feet,1975,Unknown,
1319,Boston Strangler,United,13,13,"1960s deaths of 13 women (five young, eight older), mostly with their own stockings as ligature. Albert DeSalvo confessed to the murders, but was never indicted; DNA evidence tested in 2013 suggested his guilt in one of the cases",1962,1964,
1320,Bouncing Ball Killer,United,6,7+,"Series of murders targeted towards elderly women in Los Angeles; convicted murderer Raymond Ward Clemmons confessed to the murders, but he was never charged due to a lie detector proving he was being untruthful",1959,1960,
1321,Bra murders,United,5,5,"Strangulations of five black women, mostly prostitutes and drug addicts, in Stamford, Connecticut; schizophrenic preacher Benjamin Franklin Miller was prosecuted for the crimes, but acquitted by reason of insanity, leaving his true guilt in question",1967,1971,
1322,Castration serial murders,United,2,5+,Series of murders of men who were shot in the back of the head and then castrated post-mortem,1980,1986,
1323,Charlie Chop-off,United,4,4,Murders of five boys in Manhattan in 1972 and 1973. A mental patient confessed to one slashing death. Four stabbings also involving mutilation remain unsolved,1972,1974,
1324,Chicago Strangler,United,55,75+,Raped and strangled predominantly African-American prostitutes and other vulnerable women in Chicago; could possibly be multiple serial killers,2001,2021,
1325,Cincinnati Strangler,United,7,7,"Raped and strangled seven mostly elderly women in Cincinnati, Ohio between 1965 and 1966; Cab driver Posteal Laskey, Jr. is commonly believed to be culprit",1965,1966,
1327,Colonial Parkway Killer,United,8,8,Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead,1986,1989,
1328,Columbus murders,United,3,3,Three fatal shootings committed in Columbus and West Jefferson,1965,1966,
1329,Connecticut River Valley Killer,United,7,7+,"Stabbed at least six women to death in New England in the 1980s, severely injured one",1978,1987,
1330,Cumminsville murders,United,5,5,Series of brutal murders and mutilations of women in the Cincinnati neighborhood of South Cumminsville,1904,1910,
1331,Dayton Strangler,United,6,6,"Murdered five women and one man in Dayton, Ohio in the early 20th-century; one man was wrongfully convicted for the murders",1900,1909,
1332,Denver Prostitute Killer,United,17,27,"Abducted, raped and strangled young girls and women around Denver and its various suburbs",1975,1995,
1333,Denver Strangler,United,3,5,Strangled three prostitutes in Denver in 10 weeks; also thought to be responsible in two more murders,1894,1903,
1334,Doodler,United,6,16,"Sketched then stabbed to death gay men in San Francisco, California in the 1970s",1974,1975,
1336,Eastbound Strangler,United,4,4,"Murdered four women near Atlantic City, New Jersey in 2006.",2006,Unknown,
1337,Edgecombe County serial killer,United,9,10,"Murders of nine women and disappearance of another since 2005 around Rocky Mount, North Carolina. Antwan Pittman has been convicted in one case",2000s,Unknown,
1338,Flat-Tire murders,United,12,35,"Killed young girls and women in Broward and Miami-Dade Counties by offering help with fixing their car tires, before he sexually assaulted them and drowned them in canals",1975,1976,
1339,Flint Serial Slasher,United,5,5,"Stabbing attacks against mostly small-framed African-American men, with the main area being Flint, Michigan; an Israeli national, Elias Abuelazam, has been convicted in one of the murders and remains the prime suspect in the other four",2009,2010,
1340,Frankford Slasher,United,8,9,"Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large",1985,1990,
1341,Freeway Phantom,United,6,6,"Raped and strangled six young women and girls in Washington, D.C. in the early 1970s, dumping their bodies by freeways",1971,1972,
1342,Gold Sock Killer,United,3,3,Strangled a woman and two teenage girls to death with socks,1973,Unknown,
1343,Golden Years Murders,United,13,13+,"Murders of elderly women in Richmond, Virginia; murderer Leslie Burchart was convicted for some of the killings, but his guilt is disputed",1990,1996,
1344,Great Basin Killer,United,4,4+,"Allegedly responsible for the ""Great Basin Murders"", in which young girls and women were raped and killed across the Great Basin area; initially consisting of nine supposed murders, those have since been solved and attributed to different perpetrators",1983,1997,Great Basin Murders
1345,Gypsy Hill killings,United,5,5+,"Known as the ""San Mateo slasher""; five unsolved killings, of young women in San Mateo County, California during early 1976; in 2014, the FBI named Rodney Halbower as a person of interest in the Gypsy Hill killings; as of 2018",1976,Unknown,San Mateo slasher
1346,Hog Trail Murders,United,6,12,"Mutilated bodies of young men found in Charlotte County, Florida; thought to be linked to Daniel Conahan, who was charged and convicted of one of the murders",1993,1996,
1347,Harbor City serial shootings,United,3,3,"Shot four black men from his Jeep, three of them fatally.",1993,Unknown,
1348,Honolulu Strangler,United,5,5,Raped and strangled five young women in Hawaii in 1985 and 1986,1985,1986,
1349,I-45 Killer,United,0,4+,Strangled four known victims in 1980 and sexually assaulted some. Two of the four women have never been identified.,1980,Unknown,
1350,I-70 killer,United,6,9,Killed and robbed six store clerks around the Midwestern United States,1992,2001,
1351,I-70 Strangler,United,12,12,Killed gay men and dumped their bodies near I-70; suspected serial killer Herb Baumeister is considered the prime suspect in the case,1980,1991,
1352,Jeff Davis 8,United,8,8,"The bodies of eight women were found in swamps and canals surrounding Jennings, Louisiana. Originally thought to be a serial killer, but multiple suspects may be involved",2005,2009,
1353,Kauai serial killer,United,2,2,"Kidnapped, raped, beat, and stabbed women to death on the Kauai island of Hawaii.",2000,Unknown,
1354,Little Rock serial stabbings,United,3,3,"Random stabbing murders against strangers that occurred in Little Rock, Arkansas",2020,2021,
1355,Long Island serial killer,United,10,17,"Suspected of killing eight women, a man and a child since 1996 and dumping their bodies along remote beaches in Suffolk and Nassau County, New York. The killer has been referred to as the Gilgo Beach killer because of the location where the first bodies were found",1996,2010,
1358,2011 Memphis serial murders,United,3,4,"Murders of three sex workers in Memphis, Tennessee in the winter of 2011; possibly linked to a fourth murder committed in 2015",2011,Unknown,
1359,Miami Strangler,United,9,11,"Murdered at least nine women in Miami, Florida, between 1964 and 1970",1964,1970,
1360,Michigan Murders,United,1,7,"Raped, stabbed, and strangled young women between the ages of 13 and 21 in the Washtenaw County area of Michigan. John Norman Collins was convicted of the last murder in the series and strongly suspected to be responsible for all seven murders attributed to the same perpetrator.",1967,1969,
1361,New Bedford Highway Killer,United,9,11,Murders of nine women and disappearance of two others between 1988 and 1989,1988,1989,
1362,Oakland County Child Killer,United,4,4+,"Also known as the ""Babysitter""; responsible for the murders of four or more children in Oakland County, Michigan in 1976 and 1977",1976,1977,Babysitter
1363,Oklahoma City Butcher,United,3,3,Killed and mutilated 3 women in Oklahoma City between 1976 and 1986,1976,1986,
1364,Package Killer,United,3,5+,"Murders of three female sex workers between March and September 1990, Suspect in custody on September 19, 2022",1990,Unknown,
1365,Phantom Killer,United,5,5,"Believed to have committed the Texarkana Moonlight Murders in Texas between February 23 and May 4, 1946",1946,Unknown,
1366,Pittsburg serial murders,United,5,5,"Single or multiple offenders who murdered one man and four women over three months in the city of Pittsburg, California",1998,1999,
1367,1996 Raleigh murders,United,6,6,"Series of murders and rapes across the Raleigh, North Carolina area; multiple killers are suspected, including one who was convicted of two murders",1996,Unknown,
