Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Frans Hooijmaijers,"(1935-10-24)October 24, 1935Kerkrade, Netherlands","August 20, 2006(2006-08-20) (aged 70)Netherlands",Unknown,"""Fat Frans""""The Good Samaritan""",Unknown,Murder x5,Unknown,Unknown,5–259,1970–1975,Netherlands,Limburg,"August 14, 1975"
Miyuki Ishikawa,"(1897-02-05)5 February 1897[1]Honjō, Miyazaki Prefecture, Japan",30 May 1987(1987-05-30) (aged 90)[2][3][4]Japan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Uncertain5 (Final Judgment)27 (Indictment)84 (Police Investigation) [note 1],April 1946 – January 1948,Japan,Tokyo,"January 15, 1948"
Amy Archer-Gilligan,"Amy E. DugganOctober 31, 1873Milton, Connecticut, U.S.","April 23, 1962(1962-04-23) (aged 88)Middletown, Connecticut, U.S.",Unknown,Sister Theresa,Life insurance money,Unknown,Unknown,Unknown,5+,1907–1917,United States,Connecticut,1917; 107 years ago (1917)
Sonya Caleffi,"(1970-07-21) 21 July 1970 (age 54)Como, Italy",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5+,2003–2004,Italy,Unknown,15 December 2004
Aino Nykopp-Koski,Aino Kerttu Annikki NykoppNovember 1950[1],Unknown,Unknown,Unknown,Unknown,"5 murders,5 attempted murders,3 aggravated assaults,4 thefts,2 drug possessions",Unknown,Unknown,5,2004–2009,Finland,Unknown,March 2009
Kimberly Clark Saenz,"Kimberly Clark Fowler (1973-11-03) November 3, 1973 (age 51)Fall River, Massachusetts, U.S.",Unknown,Unknown,Unknown,Unknown,Capital murder (5 counts)Aggravated assault (3 counts),Unknown,Unknown,"10 (5 killed, 5 attempted)",Unknown,United States,Texas,2008
Michael Swango,"James Michael Swango (1954-10-21) October 21, 1954 (age 70)Tacoma, Washington, U.S.",Unknown,Unknown,"David J. Adams, Jack Kirk, Michael Kirk, Michael Swan",Unknown,New YorkFirst degree murder (3 counts)OhioAggravated murder,Unknown,Unknown,4–60,1981–1997,"United States, Zimbabwe","Illinois, New York, Ohio, South Dakota",June 1997
Edson Izidoro Guimarães,Edson Izidoro Guimarães1957 (age 66–67)Brazil,Unknown,Unknown,The Nurse of Death,Unknown,Murder,Unknown,Unknown,4–131,January – May 1999,Brazil,Unknown,"May 4, 1999"
Richard Angelo,"(1962-08-29) August 29, 1962 (age 62)Long Island, New York, U.S.",Unknown,Unknown,Unknown,Unknown,Second degree murder (2 counts)Second degree manslaughterCriminally negligent homicideAssault (6 counts),Unknown,Unknown,"4 deaths, 1 attempt, 30+ suspected",April – October 1987,United States,New York,"November 15, 1987[1]"
Colin Norris,"Colin Campbell Norris (1976-02-12) 12 February 1976 (age 48)Milton, Glasgow, Scotland",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"4–10 murder victims, 1 victim of attempted murder",May – November 2002,England,Unknown,2002
Beverley Allitt,"Beverly Gail Allitt (1968-10-04) 4 October 1968 (age 56)Grantham, Lincolnshire, England",Unknown,Unknown,The Angel of Death,Attention due to factitious disorder imposed on another,Unknown,Unknown,Unknown,13 (4 deaths),February 1991 – April 1991,United Kingdom,Unknown,1991
Abraao Jose Bueno,Abraão José Bueno (1976-11-30) 30 November 1976 (age 47)Brazil,Unknown,Unknown,Unknown,Unknown,"Murder, Attempted murder",Unknown,Unknown,4,Unknown,Brazil,Unknown,Unknown
Andrés Ulises Castillo Villarreal,"Andrés Ulises Castillo Villarreal1980 (age 43–44)Chihuahua City, Chihuahua, Mexico",Unknown,Unknown,"""The Chihuahua Ripper""""The Urban Development Ripper""",Unknown,Murder,Unknown,Unknown,3–12+,2009–2015,Mexico,Chihuahua,"January 6, 2016"
Elfriede Blauensteiner,"Elfriede Martha Blauenstein(1931-01-22)22 January 1931Vienna, Austria",16 November 2003(2003-11-16) (aged 72),Unknown,The Black Widow,Unknown,Unknown,Unknown,Unknown,3–10+,1981–1995,Austria,Unknown,January 1996
Genene Jones,"(1950-07-13) July 13, 1950 (age 74)Texas, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two confirmed; possibly over 60,1970–1982,U.S.,Texas,21 November 1982
Benjamin Geen,"1980 (age 43–44)England, United Kingdom",Unknown,Unknown,'Ben Allitt' (reference to Beverley Allitt),Unknown,"2 counts of murder, 15 counts of grievous bodily harm",Unknown,Unknown,"2–12 murder victims,[a] 15–24 victims of grievous bodily harm[b]",December 2003 – February 2004,United Kingdom,Unknown,9 February 2004
Marie Fikáčková,"Marie Schmidl(1936-09-09)9 September 1936Sušice, Czechoslovakia","13 April 1961(1961-04-13) (aged 24)Pankrác Prison, Prague, Czechoslovakia",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,2–10+,1957–1960,Czechoslovakia,Unknown,Unknown
Victorino Chua,1965 or 1966 (age 57–58),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Christopher Duntsch,"Christopher Daniel Duntsch (1971-04-03) April 3, 1971 (age 53)Montana, U.S.",Unknown,Unknown,Unknown,Unknown,"February 20, 2017",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Felícitas Sánchez Aguillón,"1890Cerro Azul, Veracruz, Mexico",16 June 1941(1941-06-16) (aged 50–51),Unknown,"""The Ogress of Colonia Roma,"" ""The Female Ripper of Colonia Roma"" and ""The Human Crusher of Little Angels""",Unknown,Unknown,Unknown,Unknown,"Several (40-50, at least one)",1930–1941,Mexico,Mexico City,"April 11, 1941"
Robert George Clements,"1880 (1880)Belfast, Ireland","1947 (aged 66–67)Southport, England",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1–4,1920–1947,England,Unknown,Unknown
Abboud and Khajawa,19th-centuryOttoman Empire,"1917Mosul, Ottoman Empire",Unknown,Unknown,Unknown,MurderCannibalism,Unknown,Unknown,100+,?–1917,Ottoman Empire (present-day Iraq),Nineveh,1917
David Avendaño Ballina,1974Mexico,Unknown,Unknown,"""The Hamburger""",Unknown,Unknown,Unknown,Unknown,70,1997–2007,Mexico,Unknown,"February 12, 2008"
Hassan Orangi,"1925Esmailabad, Razavi Khorasan Province, Iran","December 2, 1951 (aged 26)Mashhad, Razavi Khorasan Province, Iran",Unknown,"""The Singing Killer""",Unknown,Murder x62,Unknown,Unknown,62,1945–1951,Iran,Razavi Khorasan,"April 7, 1951"
Angel Makers of Nagyrév,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1929
Long Zhimin,"UnknownShang County, Shaanxi, China","September 27, 1985Shang County, Shaanxi, China",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,48,1983–1985,China,Shaanxi,"May 28, 1985"
Dean Corll,"Dean Arnold Corll(1939-12-24)December 24, 1939Fort Wayne, Indiana, U.S.","August 8, 1973(1973-08-08) (aged 33)Pasadena, Texas, U.S.",Unknown,The Candy ManThe Pied Piper,Sexual sadism[1]PossessionControl,Unattributable due to death,Unknown,Unknown,28+,1970–1973,United States,Texas,Unknown
Adolfo Constanzo,"Adolfo de Jesús Constanzo(1962-11-01)November 1, 1962Miami, Florida, U.S.","May 6, 1989(1989-05-06) (aged 26)Mexico City, Mexico",Unknown,"The Godfather of Matamoros (El Padrino de Matamoros)
The Witch Doctor",Unknown,Unknown,Unknown,Unknown,"16 confirmed, 26 suspected",1986–1989,Mexico,Unknown,Unknown
Viktor Sayenko and Igor Suprunyuk,"Viktor Sayenko(Ukrainian: Віктор Саєнко, Russian: Виктор Саенко) (1988-03-01) 1 March 1988 (age 36)Dnipropetrovsk, Ukrainian SSR, Soviet Union
Igor Suprunyuk(Ukrainian: Ігор Супрунюк, Russian: Игорь Супрунюк) (1988-04-20) 20 April 1988 (age 36)Dnipropetrovsk, Ukrainian SSR, Soviet Union",Unknown,Unknown,Unknown,Unknown,"Premeditated murder and animal cruelty (Sayenko and Suprunyuk)  and robbery (Hanzha, Sayenko and Suprunyuk)",Unknown,Unknown,21,25 June – 16 July 2007,Ukraine,Dnipropetrovsk Oblast,23 July 2007
Marcelo de Jesus Silva,1984Rio de Janeiro,"(2010-12-03)December 3, 2010Lagoa da Paixão, Fazenda Coutos, Bahia, Brazil",Unknown,Unknown,Unknown,"Murder, robbery, drug trafficking, death squad",Unknown,Unknown,20,Unknown,Brazil,Unknown,Unknown
Wang Zongfang and Wang Zongwei,"Wang Zongfang:August 3, 1957Wang Zongwei:November 16, 1954Shenyang, Liaoning, China","September 18, 1983 (aged 26 and 28)Guangchang, Jiangxi, China",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,20+,Unknown,China,Unknown,Unknown
Anísio Ferreira de Sousa,Anísio Ferreira de Sousa1950Brazil,2000,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,Unknown,Unknown,Brazil,Unknown,Unknown
Ripper Crew,"Robin Gecht (1953-11-30) November 30, 1953 (age 70)Menard, Illinois, U.S.Andrew Kokoraleis(1963-07-18)July 18, 1963Villa Park, Illinois, U.S.Thomas Kokoraleis (1961-07-10) July 10, 1961 (age 63)Villa Park, Illinois, U.S.Edward Spreitzer (1961-01-05) January 5, 1961 (age 63)Chicago, Illinois, U.S.","Andrew KokoraleisMarch 17, 1999(1999-03-17) (aged 35)Tamms Correctional Center, Tamms, Illinois, U.S.",Unknown,The Chicago RippersThe Ripper Crew,Unknown,Everyone except Gecht was convicted of at least one count of murder,Unknown,Unknown,"18 (6 convicted; 5 for Spreitzer, 1 for the Kokoralies brothers)","May 23, 1981 – October 6, 1982",United States,Illinois,"October 20 - November 12, 1982"
John Allen Muhammad,"John Allen Williams(1960-12-31)December 31, 1960Baton Rouge, Louisiana, U.S.","November 10, 2009(2009-11-10) (aged 48)Greensville Correctional Center, Jarratt, Virginia, U.S.",Unknown,The Beltway SniperThe D.C. Sniper,Unknown,Capital murder,Unknown,Unknown,"10 killed, 3 injured (D.C. metropolitan area)7 killed, 7 injured elsewhere","February 16, 2002 – October 23, 2002",United States,"Alabama, Arizona, California, Florida, Georgia, Louisiana, Maryland, Texas, Virginia, Washington state, and Washington, D.C.","October 24, 2002"
Death Angels,Unknown,Unknown,Unknown,Unknown,Unknown,First-degree murder and conspiracy to commit first-degree murder,Unknown,Unknown,"15 (confirmed), potentially 73+ dead; 8–10 wounded",1973 (possibly as early as 1970) – 1974,United States,California,1974
Vladyslav Volkovich and Volodymyr Kondratenko,"Vladislav VolkovichVolodymyr Kondratenkoca. 1967Kyiv, Ukrainian SSR, Soviet Union","Kondratenko:May 31, 1997",Unknown,The Nighttime Killers,Unknown,Unknown,Unknown,Unknown,16,1991–1996,Ukraine,Unknown,1996
José Miculax Bux and Mariano Macú Miculax,"José María Miculax Bux1925Patzicía, Guatemala","July 18, 1946 (aged 21)Guatemala",Unknown,The Monster of Guatemala.,Unknown,Murder,Unknown,Unknown,15,January 1946 – April 1946,Guatemala,Unknown,"April 26, 1946"
Fred West,"Frederick Walter Stephen West(1941-09-29)29 September 1941Much Marcle, Herefordshire, England","1 January 1995(1995-01-01) (aged 53)HM Prison Birmingham, Birmingham, England",Unknown,Unknown,Unknown,"Earlier convictions for:
Actual bodily harm
Child molestation
Deception
Indecent assault
Possession of stolen goods
Theft
Unpaid fines",Unknown,Unknown,12–13+,1967–1987,United Kingdom,Unknown,24 February 1994; 30 years ago (1994-02-24)
Briley Brothers,"Linwood(1954-03-26)March 26, 1954Richmond, Virginia, U.S.James(1956-06-06)June 6, 1956Richmond, Virginia, U.S.Anthony (1958-02-17) February 17, 1958 (age 66)Richmond, Virginia, U.S.","LinwoodOctober 12, 1984(1984-10-12) (aged 30)Virginia State Penitentiary, Richmond, Virginia, U.S.JamesApril 18, 1985(1985-04-18) (aged 28)Virginia State Penitentiary, Richmond, Virginia, U.S.",Unknown,Unknown,Unknown,LinwoodCapital murderFirst degree murder (6 counts)RobberyRapeUse of a firearm in the commission of a felonyJamesCapital murder (2 counts)First degree murderRobberyRapeUse of a firearm in the commission of a felonyAnthonyFirst degree murder (4 counts)RobberyUse of a firearm in the commission of a felony,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"John Justin Bunting, Robert Joe Wagner and James Spyridon Vlassakis",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12,August 1992 – May 1999,Australia,South Australia,21 May 1999
Leonard Lake,"Leonard Thomas Lake(1945-10-29)October 29, 1945San Francisco, California, U.S.","June 6, 1985(1985-06-06) (aged 39)South San Francisco, California, U.S.",Unknown,Leonard HillLeonard BlakeAlan DreyTom MeyersJim BrightTed WhiteSteveCharles GunnarDonald LakeRandy JacobsenRobin StapleyPaul Cosner,Unknown,Previously convicted of vehicle theft to one year of probation; never convicted for murder,Unknown,Unknown,11 confirmed25+ suspected[1],1983–1985,United States,California,"June 2, 1985"
Bloody Benders,Unknown,Unknown,Unknown,John Bender Sr.Elvira BenderKate BenderJohn Bender Jr.,Unknown,Unknown,Unknown,Unknown,11+,1871–1873,United States,Kansas,Unknown
Shen Changyin and Shen Changping,"Shen Changyin(1976-01-26)January 26, 1976Shen Changping(1983-03-08)March 8, 1983China","Shen ChangyinApril 27, 2006(2006-04-27) (aged 30)ChinaShen ChangpingApril 27, 2006(2006-04-27) (aged 23)China",Unknown,Unknown,Unknown,Murder (11 counts),Unknown,Unknown,11,1999–2004,China,Henan · Gansu · ShanxiAnhui · Inner MongoliaHebei,August 2004
Polatbay Berdaliyev,Polatbay Turganbekovich Berdaliyev[1]1986 (age 37–38)Uzbek SSR,Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,11,2011–2012,"Uzbekistan, Kazakhstan","Tashkent, Shymkent",May 2012
Wolfgang Abel and Marco Furlan,"Wolfgang Abel(1959-03-25)25 March 1959Düsseldorf, North Rhine-Westphalia, West GermanyMarco Furlan (1960-01-16) 16 January 1960 (age 64)Padua, Italy","Wolfgang Abel25 October 2024(2024-10-25) (aged 65)Negrar di Valpolicella, Italy",Unknown,"""Ludwig""",Unknown,Murder,Unknown,Unknown,10–15[a],1977–1984,"Italy, West Germany",Unknown,4 March 1984
Juan Carlos Hernández and Patricia Martínez,"1985Lázaro Cárdenas, Michoacán, México",Unknown,Unknown,Unknown,"Sexual compulsion, hatred",Unknown,Unknown,Unknown,10–20,Unknown,Mexico,State of Mexico,4 October 2018
Hillside Stranglers,"Kenneth Alessio BianchiAngelo Buono Jr.Bianchi:  (1951-05-22) May 22, 1951 (age 73)Buono: (1934-10-05)October 5, 1934","Buono:September 21, 2002(2002-09-21) (aged 67)",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,"10 killed as a duo, 2 by Bianchi alone","October 16, 1977 – February 16, 1978",United States,Unknown,"Bianchi: January 12, 1979; 45 years ago (1979-01-12)Buono: October 22, 1979; 45 years ago (1979-10-22)"
Gerald and Charlene Gallego,"Gerald Armond GallegoCharlene Adell Williams(1946-07-17)July 17, 1946 (Gerald)   (1956-10-10) October 10, 1956 (age 68) (Charlene)Sacramento, California (Gerald)Stockton, California (Charlene)","July 18, 2002(2002-07-18) (aged 56) (Gerald)",Unknown,The Love Slave KillersThe Sex Slave Killers,Unknown,Armed robbery (Gerald)Lewd and lascivious acts with a child (Gerald)Murder (both),Unknown,Unknown,11+,"September 10, 1978 – November 2, 1980",United States,CaliforniaNevadaOregon,"November 17, 1980"
Viña del Mar psychopaths,"Jorge José Sagredo Pizarro(1955-08-22)22 August 1955Viña del Mar, ChileCarlos Alberto Topp Collins(1950-01-25)25 January 1950Viña del Mar, Chile","(1985-01-29)29 January 1985 (aged 29 and 35)Quillota, Chile",Unknown,Unknown,Unknown,Murder (10 counts),Unknown,Unknown,10 murdered4 raped1 burglarized,5 August 1980 – 1 November 1981,Chile,Valparaíso Region,8 March 1982
Yevgeny Nagorny,"Yevgeny Olegovich Nagorny (1972-06-26) 26 June 1972 (age 52)Kharkiv Oblast, UkSSR",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,10,January – May 1998,Russia,Moscow,Unknown
Song Jinghua,"1979Inner Mongolia, China","May 27, 2011(2011-05-27) (aged 31–32)Beijing, China",Unknown,Unknown,Unknown,Murder x9,Unknown,Unknown,9,1996–2007,China,Beijing,Unknown
Tadeusz Grzesik,"1960 (age 63–64)Wola Jachowa, Polish People's Republic",Unknown,Unknown,"""Strawberry""""Killer""",Unknown,Murder,Unknown,Unknown,8–20+,1991–2007,Poland,"Świętokrzyskie, Lublin, Silesia, Lesser Poland, Łódź, allegedly others as well",2007
The Hernández Brothers Sect,"1947 (age 76–77)Tamaulipas, Mexico",Unknown,Unknown,"""The High Priestess of Blood""",Unknown,Unknown,Unknown,Unknown,2–15,March – May 1963,Mexico,San Luis Potosí,Unknown
Rudolfo Infante and Anna Villeda,"Rodolfo Infante JímenezAna María Ruíz Villeda1963 (Rudolfo)1971 (Anna)San Benito, Texas, U.S. (Rudolfo)San Luis Potosí, Mexico (Anna)",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,8,Unknown,Mexico,Tamaulipas,"October 21, 1991"
Dale Hausner and Samuel Dieteman,"Dale Shawn Hausner(1973-02-04)February 4, 1973Arizona, United States","June 19, 2013(2013-06-19) (aged 40)Florence State Prison, Arizona, U.S.",Unknown,Unknown,Unknown,First degree murder (6 counts)Attempted first degree murder (17 counts)Conspiracy to commit first degree murderAggravated assault (15 counts)Arson of occupied structure (2 counts)Animal cruelty (9 counts)Conspiracy to commit animal cruelty (2 counts)Drive-by shooting (24 counts)Unlawful discharging of a firearm (4 counts)[1][2][3],Unknown,Unknown,8 killed; 19 injured,"May 2005 – July 30, 2006",United States,Arizona,"August 3, 2006"
Futoshi Matsunaga,"Futoshi Matsunaga (1961-04-28) April 28, 1961 (age 63)Kitakyushu, Fukuoka, Japan",Unknown,Unknown,Unknown,Unknown,Murder (6 counts)Manslaughter,Unknown,Unknown,7–9,1996–1998,Japan,"Kitakyushu, Fukuoka",2002
Christopher Worrell and James Miller,17 January 1954,19 February 1977(1977-02-19) (aged 23),Unknown,The Truro Murderers,Unknown,Unknown,Unknown,Unknown,7,23 December 1976 – 12 February 1977,Australia,South Australia,Unknown
Fa Ziying and Lao Rongzhi,"(1964-10-01)1 October 1964Jiujiang, Jiangxi, China","28 December 1999(1999-12-28) (aged 35)Feixi County, Hefei, Anhui, China",Unknown,Fa Lao Qi(法老七)Ye Weimin (叶伟民),Unknown,"Murder, kidnapping, robbery",Unknown,Unknown,7,1996–1999,China,Unknown,23 July 1999
Johannes van Rooyen and Dumisani Makhubela,"van Rooyen: 1979 or 1980 (age 44–45)
Makhubela: 1978 or 1979 (age 45–46)",Unknown,Unknown,Unknown,Unknown,Murder (x7)Rape (x6)8 other crimes,Unknown,Unknown,7,May – June 2005,South Africa,Mpumalanga,7 June 2005 (Makhubela)December 2005 (van Rooyen)
Auto Shankar,"Gowri Shankar(1954-01-21)21 January 1954Kangeyanallur, Vellore District, India","27 April 1995(1995-04-27) (aged 41)Salem Central Prison, Salem, Tamil Nadu, India",Unknown,Unknown,Unknown,Murder (6 counts),Unknown,Unknown,6,1975–1989,India,Tamil Nadu,Unknown
Gert van Rooyen,Cornelius Gerhardus van Rooyen11 April 1938South Africa,"15 January 1990 (aged 51)Pretoria, South Africa",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,South Africa,Unknown,Unknown
Kiss brothers and Zsolt István Pető,Unknown,Unknown,Unknown,Unknown,Unknown,Murder x6,Unknown,Unknown,6,2008–2009,Hungary,"Hajdú-Bihar, Pest, Szabolcs-Szatmár-Bereg, Heves, Borsod-Abaúj-Zemplén","August 21, 2009"
Hermann Duft and Hans Wilhelm Bassenauer,"Hermann Duft1938Frankfurt, Nazi GermanyHans Bassenauer1938Darmstadt, Nazi Germany","Hermann Duft15 December 1969 (aged 31)Corfu, GreeceHans Bassenauer15 December 1969 (aged 31)Aegina, Greece",Unknown,Unknown,Unknown,Murder (6 counts)RobberyAttempted murder,Unknown,Unknown,6,6 March 1969 – 12 April 1969,Greece,Unknown,Unknown
